OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF30,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,PR,PR_Benefit
4,5,6,4,3,0,4,2,2,4,3,4,3,5,4,0.19,0,4,4,2,1,3,2,3,2118,2,0,0,0,0,0,2,4,3,0,0,0,1,0,1,6,0,0,4,5,1,1,1,3,1,1,3,1,1,1,1,2,4,4,2,2,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,1,5,0,0,1,1,4,3,1,6,1,7,0,2,6.885714286,162.875,1,1,0.333333333,0,0,0,4.438,1.231
4,5,7,1,3,0,5,4,2,4,3,3,3,2,1,0.27,0,4,4,3,1,2,2,4,2140,2,0,0,0,0,1,4,1,3,2,0,0,3,2,4,1,1,224,3,1,0,0,0,1,2,3,1,2,1,1,1,3,3,1,2,5,4,2,3,3,5,0,0,0,0,0,0,0,0,0,0,3,2,4,0,1,3,1,4,2,2,5,1,4,1,2,6,1,7,0,2,6.801428571,142.75,0.833333333,1,0.333333333,0,0,0,7.559,1.533
4,5,4,4,0,0,4,4,3,5,6,5,2,4,4,0.12,0,4,4,2,1,3,3,6,2181,0,0,0,0,0,0,2,1,0,2,0,3,0,2,3,1,2,224,1,1,0,0,0,1,2,5,1,1,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,3,2,3,5,1,4,1,0,6,1,7,0,1,6.717142857,122.625,0.666666667,1,0.5,0,0,0,10,1.938
4,5,4,1,3,1,4,4,3,4,3,5,6,4,2,0.603,0,4,4,2,1,3,2,6,2077,2,0,0,0,0.052631579,0,4,4,0,1,1,0,2,0,1,4,0,112,4,4,1,4,1,1,2,1,1,1,1,1,3,3,2,3,4,1,5,2,2,2,4,1,2,0,0,0,1,0,0,1,0,2,2,3,0,1,3,2,4,2,2,5,1,4,1,1,5,1,7,0,1,6.632857143,102.5,0.5,1,0.333333333,0,0,0,5.438,1.176
4,5,7,2,3,1,3,4,1,5,7,6,6,2,4,0.528,0,4,4,2,2,3,3,5,1835,0,0,0,0,0.105263158,0,4,2,3,3,0,3,0,0,2,2,2,224,1,2,1,2,1,1,2,4,2,2,3,1,2,3,3,3,3,4,4,3,2,2,4,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,3,2,5,0,0,4,6,4,1,0,6,1,7,0,2,6.548571429,82.375,0.333333333,1,0.666666667,0,0,0,5.999,6.366
4,5,5,7,0,0,2,4,3,5,5,2,5,5,1,0.17,0,4,4,3,1,3,2,4,1911,0,0,0,0,0.157894737,0,4,1,3,2,0,2,0,2,3,2,2,224,1,1,0,0,0,1,1,5,1,1,1,1,1,2,3,1,1,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,6,4,1,1,6,1,7,0,0,6.464285714,62.25,0.166666667,1,0,0,0,0,10,0.969
4,5,7,1,3,0,4,4,3,3,3,5,3,5,4,0.34,0,4,4,2,1,2,0,4,2011,0,0,0,0.5,0.210526316,0,4,4,0,0,0,0,0,0,0,6,0,0,4,5,2,1,1,1,1,1,2,2,4,2,3,1,5,3,3,2,1,2,2,1,5,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,3,1,5,0,0,1,5,4,1,1,6,1,7,0,0,6.38,42.125,0,1,0,0,0,0,4.038,1.522
4,5,7,1,3,0,4,5,3,4,3,3,6,3,4,0.5,0,4,4,2,1,3,3,4,1380,0,0,0,1,0.263157895,0,1,2,3,1,0,1,0,1,4,3,3,168,4,3,1,1,2,1,2,4,3,2,2,1,2,2,3,2,2,3,3,2,2,1,2,0,0,0,0,0,0,0,0,0,1,3,2,4,1,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0,1,6.42,22,0,1,0,0,0,0,5.314,5.972
4,5,7,1,3,0,4,5,3,4,4,2,6,5,4,0.6,0,4,4,2,1,3,3,3,1380,0,0,0,1,0.315789474,0,1,1,0,1,0,1,0,1,2,3,3,168,4,3,2,1,1,1,2,5,1,1,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.39125,22.875,0,1,0,0,0,0,10,0.889
4,5,6,4,3,1,4,2,1,5,4,3,5,5,1,0.00085,0,4,4,1,2,3,2,4,1970,2,0,0,1,0.368421053,0,4,4,3,0,3,0,0,0,2,4,0,20,4,4,1,2,1,1,1,1,1,2,4,1,2,3,2,3,4,3,2,3,3,3,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,3,3,5,0,0,3,6,4,2,0,6,1,7,0,2,6.3625,23.75,0,1,0,0,0,0,5.016,7.083
4,5,6,4,3,1,3,4,3,5,4,5,5,3,2,0.086,0,4,4,1,1,3,2,2,2207,0,0,0,1,0.421052632,0,2,3,3,6,0,0,0,1,1,0,0,40,3,1,0,0,0,1,1,4,1,1,4,1,1,3,2,2,3,5,5,1,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1,4,0,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0,1,6.33375,24.625,0,0.875,0.5,0,0,0,4.861,6.595
4,5,6,4,1,1,3,4,3,4,3,4,5,2,1,0.75,0,4,4,1,3,1,2,4,2202,0,0,0,1,0.473684211,0,4,3,2,5,0,2,0,2,0,0,0,224,3,1,0,0,0,1,3,4,3,1,3,1,1,3,3,2,3,4,5,2,2,2,5,0,0,0,0,0,0,0,0,0,0,2,1,5,0,3,3,2,5,0,0,4,2,4,1,0,6,1,7,0,0,6.305,25.5,0,0.75,0.5,0,0,0,5.665,2.708
4,5,7,1,2,1,4,3,3,3,4,2,2,1,1,0.166,0,4,4,1,2,3,3,6,2111,2,0,0,1,0.526315789,0,4,2,0,0,0,3,0,0,4,2,1,224,1,2,1,1,1,1,1,5,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,2,5,0,0,5,6,4,2,1,6,1,7,0,0,6.27625,26.375,0,0.625,0,0,0,0,10,1.945
4,5,5,7,3,2,2,3,3,5,4,4,4,1,1,0.865,0,4,4,2,3,3,3,6,2099,0,0,0,1,0.578947368,0,3,1,3,4,0,2,0,2,3,1,2,225,2,1,0,0,0,1,1,4,1,1,1,1,1,3,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,6,4,1,1,6,1,7,0,1,6.2475,27.25,0,0.5,0,0,0,0,10,1.501
4,5,7,4,1,1,4,3,3,5,6,5,4,1,1,0.29,0,4,4,2,3,3,0,6,1987,2,0,0,1,0.631578947,0,1,1,0,1,0,4,0,3,3,1,2,160,1,1,0,0,0,1,1,5,1,1,1,1,1,3,3,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,4,2,2,5,6,4,1,0,6,1,7,0,0,6.21875,28.125,0,0.375,0,0,0,0,10,2.114
4,4,7,1,3,0,5,5,3,2,4,5,6,5,4,0.66,1,4,4,2,1,3,3,5,1357,0,0,0,1,0.684210526,0,2,3,4,0,0,1,1,1,3,3,1,232,3,3,2,1,2,1,2,2,3,2,2,1,1,2,4,4,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,3,2,5,0,0,5,1,4,1,1,6,1,7,0,2,6.19,29,0,0.25,0,0,0,0,4.708,10
4,5,5,2,3,2,4,2,3,6,1,6,6,1,4,0.0129,0,4,4,2,1,3,3,6,2080,2,0,0,1,0.736842105,0,3,3,0,0,4,0,2,0,2,1,3,84,3,1,0,0,0,1,1,1,2,1,4,1,1,3,5,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,3,1,5,0,0,5,1,4,1,1,5,1,3,0,2,6.38,66.5,0,0.125,0,0,0,0,10,1.378
4,5,7,1,0,0,4,4,3,5,3,6,6,3,4,0.72,0,4,4,2,1,3,3,4,1329,2,0,0,1,0.789473684,0,1,3,1,1,0,1,0,1,0,0,2,170,4,1,0,0,0,1,1,4,3,2,3,2,1,2,3,2,2,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0,1,6.57,104,0,0,0,0,0,0,10,0.789
4,5,7,1,0,0,4,4,3,5,3,6,6,1,4,0.72,0,4,4,2,1,3,3,4,1329,0,0,0,1,0.842105263,0,1,1,3,2,0,2,0,2,3,1,1,160,1,1,0,0,0,1,1,5,1,2,1,1,1,2,3,2,1,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,5.29,89.5,0,0,0,0,0,0,10,0.789
4,4,6,6,0,0,3,3,3,6,6,6,6,4,4,0.41,0,4,4,3,1,2,3,4,1342,0,0,0,0.833333333,0.894736842,0,4,3,1,5,0,1,0,1,1,0,1,168,3,1,0,0,0,1,1,5,3,2,1,2,1,2,4,1,1,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,0,4.01,75,0,0,0,0,0,0,10,1.186
4,4,6,6,0,0,3,3,3,6,6,6,6,4,4,0.41,0,4,4,3,1,2,3,4,1342,0,0,0,0.666666667,0.947368421,0,4,1,3,3,0,3,0,3,2,1,3,160,1,1,0,0,0,1,1,5,1,1,1,1,1,1,3,1,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,5.2,82.5,0,0,0,0,0,0,10,1.186
4,5,7,1,0,0,4,3,2,6,3,2,3,5,4,0.24,0,4,4,1,1,3,3,2,1907,2,0,0,0.5,1,0,3,3,0,1,1,0,4,0,2,1,1,124,3,1,0,0,0,1,5,2,1,2,2,1,1,2,2,4,3,1,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,4,0,2,3,2,5,0,0,5,1,4,1,0,6,1,7,0,0,6.39,90,0,0,0,0,0,0,3.621,1.467
4,5,7,1,3,0,4,4,3,6,3,5,3,3,4,0.24,0,4,4,3,1,3,3,4,1907,0,0,0,0.333333333,1,0,3,2,1,2,0,3,0,2,2,3,1,160,1,3,2,1,1,1,1,5,2,2,1,1,1,1,3,3,2,3,5,1,1,2,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,2,4,1,1,6,1,7,0,1,4.1,61,0,0,0,0,0,0,10,0.911
4,5,7,1,3,0,4,5,3,4,3,2,6,5,4,0.59,0,4,4,3,1,3,3,4,1437,2,0,0,0.166666667,1,0,2,1,3,2,0,2,0,2,4,2,3,168,3,2,2,1,1,1,1,5,3,2,1,1,1,2,3,2,1,5,3,1,1,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,3.65,53,0,0,0,0,0,0,10,0.619
4,5,7,1,2,0,4,2,2,1,2,6,4,5,4,0.11,1,4,4,3,1,3,3,4,1954,2,0,0,0,1,0,4,4,3,0,0,0,1,0,2,5,1,68,4,4,2,2,1,1,2,1,1,1,1,1,1,2,4,4,2,1,3,2,2,2,4,0,0,0,0,0,0,0,0,0,1,2,1,3,0,2,3,1,5,0,0,5,1,4,2,1,5,1,7,0,0,6.33,156,1,0,0,0,0,0,5.327,10
5,5,7,1,0,0,4,5,3,5,3,2,6,5,4,0.54,0,4,4,2,1,3,1,4,1486,0,0,0,0,1,0,4,3,4,4,0,2,2,1,1,1,2,232,3,1,0,0,0,1,3,4,3,2,1,2,1,3,4,3,3,2,5,2,2,2,5,0,0,0,0,0,0,0,0,0,1,1,2,5,1,3,2,1,5,0,0,5,1,4,1,0,6,1,7,0,1,6.16,134,0,0,0,0,0,0,4.841,6.494
1,4,6,7,2,1,3,4,3,4,3,6,6,4,2,0.26,0,4,4,1,1,1,2,3,1767,2,0,0,0,1,0,3,3,0,4,0,2,2,1,2,2,2,248,3,2,2,1,2,1,1,3,3,2,4,1,1,1,1,1,2,5,5,2,1,1,1,0,0,5,0,0,0,0,0,0,1,1,2,4,0,3,3,2,5,0,0,5,1,4,1,1,6,1,7,0,1,6.225714286,134,0,0.333333333,0,0,0,0,4.605,7.283
2,4,5,6,0,0,4,1,2,5,5,4,2,5,4,0.06,0,4,4,2,2,3,2,4,1950,2,0,1,0,1,0,4,3,0,2,1,1,4,1,2,0,1,224,1,3,3,1,1,2,4,2,1,1,2,1,1,2,2,0,2,5,5,2,2,2,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,3,1,3,4,1,4,3,2,5,1,7,0,0,6.291428571,134,0,0.666666667,0.5,0,0,0,6.196,3.052
4,5,7,1,0,0,4,1,1,5,4,5,4,5,4,0.19,0,4,4,2,1,2,2,4,2065,2,0,0,0,1,0,4,3,4,0,0,0,3,0,2,4,1,64,1,4,1,1,1,3,3,1,1,1,2,1,1,2,4,2,2,5,3,2,2,2,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,1,5,0,0,5,1,4,3,1,5,1,7,0,0,6.357142857,134,0,1,0,0,0,0,6.279,6.647
1,4,7,2,0,0,5,1,2,5,7,0,5,5,4,2146,0,4,4,2,1,2,2,4,2146,2,1,0,0,1,0,4,3,4,0,0,0,4,0,2,2,1,80,1,2,2,1,1,3,4,1,1,1,2,1,1,2,2,3,3,4,5,2,2,2,2,0,0,0,0,0,0,0,1,0,1,1,2,1,0,1,2,2,5,0,0,1,1,4,2,2,6,1,7,0,2,6.422857143,134,0,1,0.333333333,0,0,0,4.974,0
2,5,5,4,3,2,4,0,3,5,3,5,6,4,2,0.1,0,4,4,2,1,1,3,4,2065,1,0,0,0,1,0,3,3,0,3,0,0,1,0,4,0,1,232,4,1,0,0,0,4,2,3,3,2,4,3,1,2,1,2,2,4,4,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,2,4,0,2,3,3,4,2,3,3,1,4,1,1,6,1,7,0,0,6.488571429,134,0,1,0,0,0,0,5.058,7.488
1,1,6,6,3,1,4,4,3,5,6,6,4,1,4,0.9,0,4,1,1,1,3,1,6,2169,2,0,0,0,1,0,3,1,0,1,0,2,0,2,5,2,2,128,3,2,1,1,1,1,1,5,1,2,1,1,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0,1,6.554285714,134,0,1,0,0,0,0,10,10
1,5,6,1,0,0,4,1,1,5,7,5,6,5,1,0.39,0,4,4,2,1,3,2,4,1538,2,0,0,0,1,0,4,3,0,2,3,0,2,0,0,0,3,94,4,1,0,0,0,1,3,3,3,1,1,2,1,2,5,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,3,1,2,4,2,2,5,1,4,1,1,6,0,7,0,0,6.62,134,0,1,0,0,0,0,3.194,2.043
